@RELATION trainedClassifier/svmLapelModel
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {lapel-speech,boundry_speech}

@DATA
0.089121,0.004926,2.990453,0.174266,0.165540,0.808168,0.012570,0.145996,-28.980954,0.840190,1.037913,0.154591,-0.516531,0.173840,0.014376,-0.118897,-0.238005,-0.185725,-0.048807,-0.011236,-0.030814,0.009384,0.002310,0.019879,0.013886,0.046581,0.008687,0.040964,0.001677,0.004305,0.005506,0.007126,0.003011,0.025133,0.065612,0.005746,0.330166,0.052702,0.033647,0.501742,0.013138,0.105731,2.541466,0.942504,0.676947,0.633915,0.453487,0.352191,0.324345,0.306374,0.327757,0.320271,0.332835,0.309637,0.291619,0.015195,0.003767,0.025022,0.023278,0.043600,0.015517,0.051708,0.002791,0.007383,0.007256,0.009927,0.005311,0.016588,lapel-speech
0.092819,0.007257,2.976408,0.172110,0.161229,0.830285,0.013719,0.153242,-28.084707,0.684903,0.833960,0.148075,-0.663015,0.142958,-0.039053,-0.162140,-0.195355,-0.170356,0.009558,0.048009,0.032356,0.005350,0.002340,0.015810,0.012396,0.043279,0.010461,0.040953,0.002055,0.004677,0.007658,0.007115,0.003547,0.024258,0.069597,0.008482,0.348872,0.057301,0.032173,0.523517,0.017073,0.110971,2.613484,0.940501,0.715783,0.665375,0.434332,0.414205,0.370182,0.355673,0.399126,0.398118,0.385018,0.330053,0.301993,0.008117,0.003447,0.021604,0.022191,0.043999,0.019624,0.055206,0.003625,0.007910,0.012288,0.011883,0.007047,0.017851,lapel-speech
0.088708,0.005062,3.000783,0.180749,0.176272,0.784699,0.012811,0.140348,-29.605507,0.958253,1.082515,0.187487,-0.450594,0.231530,-0.003771,-0.097920,-0.233907,-0.143597,-0.045365,0.018815,-0.021741,0.008243,0.002087,0.022552,0.011725,0.048867,0.008299,0.047181,0.001642,0.003786,0.009420,0.008708,0.002305,0.026559,0.066976,0.006465,0.314021,0.055994,0.041420,0.511568,0.013475,0.112476,2.841624,1.005684,0.655521,0.602955,0.443070,0.344831,0.323050,0.302581,0.354817,0.327915,0.344712,0.295084,0.277084,0.013639,0.003517,0.026770,0.020600,0.043800,0.014943,0.058328,0.002727,0.006675,0.010813,0.010836,0.004377,0.017663,lapel-speech
0.080512,0.005823,3.054417,0.159248,0.164994,0.732093,0.009822,0.129167,-28.389005,1.430703,1.294911,0.274563,-0.509597,0.096404,0.184299,-0.150564,-0.241405,-0.044278,-0.132774,0.083956,-0.095823,0.014678,0.001684,0.020564,0.017638,0.044021,0.012110,0.035161,0.002073,0.005970,0.013453,0.019085,0.003282,0.026900,0.055164,0.006216,0.264003,0.045736,0.027585,0.470520,0.007829,0.097709,2.391992,0.746294,0.697987,0.420600,0.438067,0.317859,0.331534,0.253532,0.286703,0.236744,0.240008,0.246608,0.235362,0.022601,0.002705,0.022872,0.026886,0.040469,0.019389,0.039380,0.003861,0.009552,0.014576,0.020587,0.006074,0.014092,lapel-speech
0.077067,0.008270,3.050877,0.155376,0.164366,0.676170,0.010694,0.120734,-27.888983,1.579648,1.237352,0.314797,-0.497479,0.073919,0.190202,-0.183322,-0.261289,-0.034038,-0.145137,0.119441,-0.069982,0.013274,0.001609,0.022830,0.018175,0.048621,0.013484,0.034918,0.002264,0.006014,0.013622,0.017042,0.002916,0.027132,0.059089,0.008854,0.247851,0.050542,0.028929,0.501874,0.008522,0.103180,2.498072,0.738526,0.703424,0.410817,0.425781,0.315313,0.344692,0.259831,0.267021,0.222388,0.237224,0.240398,0.214964,0.020183,0.002484,0.026606,0.026903,0.045010,0.022409,0.037611,0.004153,0.009212,0.015037,0.019403,0.005041,0.014396,lapel-speech
0.064121,0.007148,3.021199,0.147069,0.168411,0.563390,0.013451,0.097615,-28.047932,1.761014,1.101552,0.311320,-0.473163,0.073834,0.231641,-0.153461,-0.254062,-0.009801,-0.109693,0.147338,-0.082286,0.014785,0.001811,0.021933,0.015167,0.048044,0.013805,0.041951,0.002141,0.007013,0.014382,0.018210,0.003382,0.028085,0.048675,0.007251,0.277324,0.046680,0.031199,0.448501,0.011296,0.090709,2.527507,0.758495,0.726809,0.431198,0.456633,0.318192,0.338102,0.262024,0.274011,0.221315,0.235349,0.247487,0.228187,0.021500,0.002822,0.025315,0.025657,0.042583,0.021613,0.043810,0.003784,0.010392,0.015358,0.019805,0.005505,0.014148,lapel-speech
0.069466,0.011644,3.023785,0.152135,0.169251,0.617057,0.012027,0.105156,-27.539106,1.644698,1.268208,0.295458,-0.461837,0.100839,0.165835,-0.130097,-0.212466,-0.008668,-0.112435,0.102832,-0.068675,0.014247,0.001725,0.020726,0.014712,0.041555,0.013634,0.042297,0.002008,0.008212,0.018403,0.020113,0.003122,0.028158,0.050936,0.012108,0.286215,0.047004,0.031554,0.444849,0.010138,0.090190,2.646623,0.775873,0.711760,0.446580,0.436736,0.313166,0.350322,0.240253,0.265661,0.233788,0.237072,0.233528,0.231085,0.022260,0.002622,0.025728,0.025252,0.040674,0.022391,0.044430,0.003861,0.012861,0.019017,0.021793,0.005240,0.014741,lapel-speech
0.079522,0.010850,3.023390,0.160093,0.168027,0.704106,0.010181,0.123841,-27.692182,1.484607,1.236414,0.358604,-0.455644,0.077306,0.202567,-0.167074,-0.223212,-0.023505,-0.118035,0.097723,-0.068718,0.014047,0.001927,0.021517,0.011399,0.044639,0.013029,0.041325,0.002822,0.006047,0.014227,0.018637,0.003102,0.026493,0.056460,0.011834,0.281896,0.049770,0.028287,0.488237,0.008078,0.099236,2.534485,0.752476,0.717611,0.412964,0.417667,0.317302,0.351663,0.270795,0.281941,0.235125,0.241037,0.256968,0.244382,0.021559,0.003250,0.024287,0.019377,0.041091,0.021941,0.042445,0.005148,0.009149,0.016001,0.019758,0.005088,0.013683,lapel-speech
0.081645,0.013506,3.034763,0.157385,0.160043,0.711047,0.008947,0.124729,-27.091232,1.577884,1.256879,0.291974,-0.523716,-0.014860,0.271295,-0.252417,-0.222504,-0.035510,-0.103475,0.134557,-0.076353,0.017426,0.002561,0.020049,0.014600,0.039080,0.012185,0.033843,0.002108,0.010136,0.016658,0.012398,0.002887,0.023979,0.061180,0.014607,0.277520,0.049871,0.029353,0.505863,0.006559,0.105750,2.616581,0.857205,0.743224,0.460262,0.426027,0.342836,0.358136,0.280619,0.272554,0.252161,0.249082,0.237596,0.223706,0.026256,0.004224,0.022608,0.024143,0.043988,0.017795,0.037457,0.003386,0.015135,0.018070,0.014453,0.004240,0.014368,lapel-speech
0.076273,0.009471,3.023610,0.156529,0.170545,0.681637,0.009354,0.122163,-27.792118,1.666446,1.249689,0.301272,-0.505092,0.048041,0.239964,-0.153173,-0.215066,-0.015036,-0.103808,0.101084,-0.079148,0.018111,0.002360,0.026885,0.017685,0.039419,0.011538,0.034565,0.001920,0.006797,0.017136,0.016210,0.003449,0.025453,0.058188,0.010506,0.272836,0.051451,0.030909,0.507211,0.006918,0.106284,2.577710,0.756147,0.708659,0.425388,0.457544,0.313972,0.320090,0.248817,0.264300,0.216676,0.221708,0.216792,0.215412,0.024386,0.003939,0.027857,0.025972,0.036195,0.017780,0.033006,0.002857,0.009537,0.016359,0.017817,0.005494,0.013190,lapel-speech
0.078414,0.010122,3.041508,0.149066,0.152378,0.712534,0.012406,0.114564,-28.159189,0.136152,1.226666,-0.173515,-0.806951,0.097803,-0.091198,-0.131332,-0.172483,0.132454,0.085602,0.101637,-0.092822,0.002300,0.001951,0.012346,0.004295,0.052327,0.007278,0.030085,0.002876,0.002353,0.010835,0.007462,0.002415,0.022302,0.048376,0.018103,0.266906,0.034772,0.030576,0.393969,0.011990,0.075970,1.870556,0.937473,0.403033,0.682792,0.333602,0.329762,0.373387,0.277678,0.378751,0.370168,0.327251,0.314346,0.241465,0.002704,0.004044,0.015536,0.006190,0.047611,0.018098,0.037426,0.004503,0.002114,0.022190,0.007905,0.002138,0.014840,lapel-speech
0.074955,0.020818,3.135864,0.136343,0.139711,0.765738,0.006037,0.123571,-24.410651,0.573850,1.123906,0.172606,-0.880206,0.133360,0.254535,-0.078284,-0.249692,-0.163593,-0.141566,-0.105434,-0.120998,0.011554,0.002981,0.020951,0.010742,0.056983,0.003939,0.039648,0.000989,0.002684,0.006077,0.008015,0.003211,0.024016,0.029413,0.019861,0.179631,0.021823,0.018284,0.364636,0.004029,0.057764,0.978227,0.360787,0.446233,0.409488,0.293211,0.287442,0.177035,0.175634,0.310958,0.239842,0.345951,0.299161,0.217362,0.014215,0.003424,0.015968,0.014871,0.043304,0.005190,0.046968,0.000741,0.002184,0.007585,0.008112,0.004446,0.011977,lapel-speech
0.101747,0.029548,3.053382,0.142274,0.117135,0.765747,0.008468,0.151996,-26.221815,-0.604622,1.428741,-0.596133,-0.745380,-0.138109,-0.362405,-0.408183,-0.305927,-0.050485,0.346086,0.207773,0.241255,0.005277,0.003409,0.004349,0.001926,0.020973,0.005690,0.017539,0.001178,0.003906,0.002347,0.008208,0.002209,0.010523,0.028578,0.025167,0.233401,0.014150,0.023464,0.255413,0.004259,0.027040,1.916031,0.942013,0.641034,0.476816,0.418453,0.331062,0.442317,0.466743,0.369685,0.459440,0.440970,0.375282,0.226062,0.008329,0.007834,0.006240,0.001436,0.031353,0.008604,0.023616,0.001412,0.004269,0.002937,0.008192,0.003181,0.008122,lapel-speech
0.093630,0.005621,3.067853,0.165639,0.160992,0.861131,0.009513,0.154758,-28.450513,0.818357,1.260734,0.127681,-0.829835,0.150747,0.020557,-0.108942,-0.304477,-0.204897,-0.093804,-0.069519,-0.110202,0.013909,0.003720,0.023173,0.012684,0.038805,0.008466,0.028644,0.001639,0.004646,0.005984,0.012530,0.004458,0.022545,0.051894,0.007688,0.247739,0.045854,0.025326,0.457814,0.006667,0.095974,1.861779,0.757619,0.626174,0.494302,0.383400,0.334209,0.317487,0.269447,0.292150,0.300242,0.311657,0.304575,0.289761,0.018803,0.005886,0.025359,0.018653,0.035425,0.012908,0.033835,0.002547,0.007363,0.007213,0.014933,0.007514,0.012465,lapel-speech
0.088702,0.005015,3.041189,0.151956,0.156146,0.690493,0.017565,0.138124,-27.943508,1.129341,1.124248,0.084869,-0.920288,0.248843,-0.072263,-0.045163,-0.293498,-0.149189,-0.157533,-0.073579,-0.229069,0.018937,0.004814,0.024743,0.022691,0.032783,0.006514,0.014396,0.001844,0.005639,0.008985,0.012322,0.007273,0.023053,0.066461,0.005395,0.284836,0.054989,0.029075,0.471332,0.017983,0.101659,2.076861,0.910311,0.634295,0.511298,0.505448,0.389920,0.317005,0.297856,0.330110,0.300602,0.334877,0.351151,0.388079,0.028310,0.007692,0.028712,0.045337,0.035970,0.009232,0.020072,0.002570,0.011235,0.018210,0.016458,0.013978,0.015467,lapel-speech
