@RELATION trainedClassifier/svmNoLapelModel
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {speech,non-speech}

@DATA
0.071869,0.039488,3.165294,0.162573,0.198685,0.602727,0.006194,0.105460,-23.733011,1.822966,1.045183,-0.144763,-1.277505,-0.066832,0.145799,0.049929,-0.250179,-0.171662,0.001952,-0.042576,-0.047502,0.028210,0.008512,0.019112,0.026168,0.021602,0.006613,0.017412,0.002569,0.011688,0.014157,0.019858,0.006708,0.018717,0.044968,0.036949,0.119441,0.044880,0.023022,0.512778,0.004126,0.091395,1.146437,0.503339,0.538190,0.407972,0.396825,0.372944,0.322505,0.265592,0.228580,0.214063,0.180235,0.166266,0.166750,0.022706,0.009305,0.017932,0.034435,0.023864,0.005178,0.015426,0.005081,0.013368,0.019125,0.023141,0.006464,0.010154,speech
0.069604,0.010159,3.060152,0.153901,0.190573,0.517417,0.008631,0.100550,-26.142743,1.982093,0.746407,-0.023735,-1.047207,0.285827,0.270463,0.228117,-0.219145,-0.128771,0.015490,0.016121,-0.215337,0.029198,0.006591,0.029799,0.013654,0.016898,0.011830,0.016399,0.002196,0.007477,0.015782,0.021700,0.010103,0.018440,0.046578,0.010126,0.198913,0.047147,0.030880,0.461401,0.006151,0.083396,1.391986,0.634932,0.609227,0.356870,0.392821,0.327249,0.292652,0.247061,0.257331,0.230914,0.204203,0.179124,0.177470,0.028204,0.007614,0.026693,0.014969,0.014647,0.015428,0.015536,0.002796,0.010517,0.015557,0.020857,0.011903,0.009940,speech
0.091089,0.010061,3.120388,0.181012,0.196349,0.826395,0.005778,0.144236,-25.930190,1.375602,0.891247,-0.007806,-0.713279,-0.260510,0.071388,-0.150459,-0.337064,-0.300769,-0.155296,-0.148464,-0.299048,0.023640,0.005594,0.025618,0.023790,0.025111,0.010144,0.011211,0.002784,0.006273,0.019065,0.014815,0.011114,0.019835,0.051247,0.011212,0.191195,0.051603,0.035178,0.501113,0.003899,0.107342,1.611872,0.764865,0.572573,0.539480,0.325653,0.310794,0.266585,0.253615,0.239755,0.236724,0.240777,0.251399,0.264253,0.026924,0.007780,0.030112,0.023916,0.023818,0.010552,0.011592,0.004680,0.008522,0.019005,0.013714,0.017225,0.011832,speech
0.080747,0.017797,3.099097,0.168518,0.193049,0.713824,0.007838,0.120377,-25.469311,1.455780,1.047860,-0.002064,-0.705398,-0.255806,0.049923,-0.040454,-0.339571,-0.326903,-0.178820,-0.214348,-0.285612,0.025852,0.009343,0.032455,0.025064,0.028907,0.013805,0.012888,0.001754,0.004659,0.014652,0.014806,0.009114,0.023236,0.045111,0.017980,0.257431,0.047345,0.035709,0.454851,0.006380,0.085712,1.597505,0.705048,0.550792,0.629331,0.314192,0.322046,0.234348,0.239036,0.268815,0.232867,0.251129,0.296944,0.271490,0.029480,0.013688,0.038243,0.029997,0.029806,0.019663,0.014158,0.003016,0.006026,0.016646,0.016295,0.015174,0.012955,speech
0.074816,0.012798,3.102407,0.165004,0.192916,0.673367,0.006273,0.109519,-25.321400,1.440314,0.774534,-0.047354,-0.668492,-0.155074,0.032205,-0.134677,-0.382763,-0.279028,-0.101617,-0.085256,-0.275770,0.028670,0.004575,0.023472,0.021817,0.029634,0.012588,0.010962,0.003965,0.007049,0.017200,0.016316,0.013018,0.021729,0.037934,0.011690,0.220166,0.040310,0.031319,0.416097,0.004121,0.080824,1.363839,0.607268,0.626680,0.587639,0.310731,0.317142,0.264285,0.259448,0.284320,0.242232,0.243238,0.281378,0.278042,0.029048,0.007370,0.024842,0.023793,0.030414,0.012942,0.009114,0.005961,0.008976,0.019359,0.016211,0.020306,0.010348,speech
0.093283,0.022942,3.113288,0.179607,0.192009,0.762266,0.006944,0.146206,-25.005795,0.920759,0.396635,0.119465,-0.852512,-0.054442,0.098122,-0.161350,-0.427371,-0.393657,-0.153109,-0.072372,-0.238618,0.018844,0.004572,0.018653,0.028033,0.027090,0.011993,0.008833,0.003411,0.005877,0.007420,0.008599,0.012183,0.019329,0.040751,0.022020,0.218220,0.041683,0.028854,0.417610,0.005150,0.080906,1.478150,0.792883,0.587988,0.555559,0.376933,0.324283,0.329343,0.291115,0.262461,0.271186,0.247089,0.337126,0.299167,0.023787,0.005170,0.021726,0.033315,0.031799,0.013207,0.009344,0.006561,0.008509,0.007648,0.009925,0.019079,0.012173,speech
0.077328,0.014161,3.085388,0.155735,0.180405,0.652009,0.008999,0.114047,-25.915424,1.424367,0.902344,-0.116159,-0.757006,-0.115216,-0.047063,0.031581,-0.308246,-0.363688,0.066004,-0.116750,-0.264765,0.031095,0.004760,0.018078,0.015816,0.019806,0.012476,0.009732,0.001763,0.007415,0.021409,0.025033,0.009729,0.020180,0.052156,0.014246,0.259030,0.053297,0.039877,0.460289,0.006308,0.089033,1.924682,0.794021,0.599825,0.564276,0.337871,0.358376,0.268865,0.271580,0.246807,0.281990,0.262581,0.256581,0.271116,0.035728,0.007220,0.017769,0.018152,0.021064,0.017083,0.010470,0.003135,0.010530,0.022058,0.025417,0.015025,0.011450,speech
0.063687,0.016268,3.096750,0.159239,0.201530,0.514489,0.008648,0.092337,-25.501165,1.562028,0.651371,0.078928,-0.824915,-0.244730,0.000455,-0.007182,-0.304032,-0.379340,-0.107548,-0.147487,-0.243788,0.028558,0.006663,0.026664,0.027305,0.027344,0.013698,0.016615,0.001935,0.008726,0.016819,0.016748,0.008280,0.024426,0.033237,0.017426,0.242703,0.046443,0.036339,0.384585,0.007339,0.068580,1.593488,0.673802,0.635750,0.500253,0.305794,0.321310,0.262445,0.241797,0.252663,0.264980,0.237717,0.268270,0.311989,0.030325,0.009910,0.027558,0.029648,0.028061,0.018994,0.017718,0.003796,0.013877,0.016975,0.017041,0.011538,0.012342,speech
0.084467,0.014028,3.100921,0.162227,0.180492,0.727297,0.006262,0.131143,-25.368660,1.319328,0.676156,-0.237239,-0.868271,-0.185670,0.045676,-0.149221,-0.195689,-0.424591,-0.150364,-0.136156,-0.253185,0.023471,0.008354,0.025692,0.022870,0.026930,0.006700,0.008210,0.002222,0.004496,0.011360,0.016417,0.010077,0.019286,0.043839,0.012311,0.208848,0.041222,0.032732,0.414800,0.003797,0.081688,1.402784,0.774744,0.654936,0.589947,0.374209,0.390549,0.304938,0.312256,0.293907,0.328391,0.325743,0.312771,0.288769,0.029757,0.012337,0.024188,0.025141,0.026307,0.007742,0.009410,0.003107,0.005159,0.011196,0.020532,0.012203,0.011016,speech
0.079490,0.020280,3.117213,0.166931,0.205019,0.595072,0.007384,0.113289,-24.931144,1.971259,0.750976,-0.112915,-1.316357,-0.109327,0.028681,-0.014507,-0.175050,-0.156010,0.067628,0.047289,-0.045806,0.017641,0.006820,0.018575,0.018908,0.016058,0.016761,0.016804,0.001609,0.017649,0.014163,0.014951,0.010350,0.017757,0.049285,0.016489,0.151286,0.041239,0.023522,0.535607,0.004804,0.089378,1.172669,0.656804,0.641553,0.312004,0.389551,0.304492,0.363501,0.233443,0.278809,0.232530,0.199463,0.183674,0.186443,0.016501,0.009327,0.016420,0.021605,0.014856,0.020463,0.019821,0.002680,0.025994,0.013534,0.017570,0.013606,0.010044,speech
